id_lectura,sensor_id,humedad_suelo,temperatura_suelo,conductividad_electrica,timestamp
1,1,62.48,19.4,1.146,2025-10-01 00:00:00
2,1,60.71,19.3,1.212,2025-10-01 06:00:00
3,1,60.1,23.4,1.139,2025-10-01 12:00:00
4,1,61.35,22.3,1.061,2025-10-01 18:00:00
5,5,67.57,19.0,1.18,2025-10-01 00:00:00
6,5,65.27,20.4,1.206,2025-10-01 06:00:00
7,5,63.24,22.9,1.171,2025-10-01 12:00:00
8,5,65.83,21.9,1.184,2025-10-01 18:00:00
9,7,72.4,20.2,1.245,2025-10-01 00:00:00
10,7,69.38,20.1,1.137,2025-10-01 06:00:00
11,7,67.29,23.8,1.136,2025-10-01 12:00:00
12,7,68.47,22.0,1.218,2025-10-01 18:00:00
13,10,58.38,19.7,1.119,2025-10-01 00:00:00
14,10,55.07,21.3,1.122,2025-10-01 06:00:00
15,10,53.94,24.9,1.079,2025-10-01 12:00:00
16,10,57.44,22.9,1.093,2025-10-01 18:00:00
17,13,73.71,19.4,1.411,2025-10-01 00:00:00
18,13,70.28,20.1,1.219,2025-10-01 06:00:00
19,13,67.88,24.3,1.252,2025-10-01 12:00:00
20,13,71.53,22.0,1.154,2025-10-01 18:00:00
21,17,70.22,19.1,1.279,2025-10-01 00:00:00
22,17,69.27,20.0,1.284,2025-10-01 06:00:00
23,17,67.2,23.2,1.237,2025-10-01 12:00:00
24,17,69.36,21.7,1.28,2025-10-01 18:00:00
25,20,67.82,19.0,1.23,2025-10-01 00:00:00
26,20,66.5,20.3,1.098,2025-10-01 06:00:00
27,20,63.88,24.4,1.182,2025-10-01 12:00:00
28,20,65.8,21.7,1.145,2025-10-01 18:00:00
29,23,61.95,19.7,1.159,2025-10-01 00:00:00
30,23,59.99,20.2,1.177,2025-10-01 06:00:00
31,23,58.44,24.3,1.093,2025-10-01 12:00:00
32,23,60.33,22.8,1.122,2025-10-01 18:00:00
33,25,56.64,20.3,1.115,2025-10-01 00:00:00
34,25,56.58,22.1,1.183,2025-10-01 06:00:00
35,25,53.85,24.6,1.156,2025-10-01 12:00:00
36,25,55.36,23.6,1.086,2025-10-01 18:00:00
37,29,72.01,19.6,1.26,2025-10-01 00:00:00
38,29,72.05,21.0,1.3,2025-10-01 06:00:00
39,29,71.25,24.1,1.217,2025-10-01 12:00:00
40,29,70.56,23.4,1.288,2025-10-01 18:00:00
41,1,60.59,26.8,1.196,2025-10-02 00:00:00
42,1,57.93,28.8,1.206,2025-10-02 06:00:00
43,1,56.06,32.4,1.157,2025-10-02 12:00:00
44,1,59.87,31.4,1.147,2025-10-02 18:00:00
45,5,65.03,26.9,1.204,2025-10-02 00:00:00
46,5,64.26,27.8,1.258,2025-10-02 06:00:00
47,5,61.38,32.6,1.2,2025-10-02 12:00:00
48,5,63.41,29.2,1.205,2025-10-02 18:00:00
49,7,68.13,26.7,1.133,2025-10-02 00:00:00
50,7,66.33,28.5,1.209,2025-10-02 06:00:00
