id_clima,parcela_id,temperatura_ambiente,humedad_relativa,precipitacion_mm,radiacion_solar,velocidad_viento,timestamp
1,1,21.9,55.8,0.0,19.2,3.7,2025-10-01 08:00:00
2,2,21.1,56.8,0.0,19.2,3.7,2025-10-01 08:00:00
3,3,21.9,51.2,0.0,19.2,3.7,2025-10-01 08:00:00
4,4,22.1,57.7,0.0,19.2,3.7,2025-10-01 08:00:00
5,5,21.5,57.9,0.0,19.2,3.7,2025-10-01 08:00:00
6,6,21.0,57.2,0.0,19.2,3.7,2025-10-01 08:00:00
7,7,21.4,47.0,0.0,19.2,3.7,2025-10-01 08:00:00
8,8,21.7,53.7,0.0,19.2,3.7,2025-10-01 08:00:00
9,9,22.7,59.2,0.0,19.2,3.7,2025-10-01 08:00:00
10,10,22.1,54.5,0.0,19.2,3.7,2025-10-01 08:00:00
11,1,31.1,52.9,0.0,15.8,6.5,2025-10-02 08:00:00
12,2,30.3,52.3,0.0,15.8,6.5,2025-10-02 08:00:00
13,3,30.7,57.1,0.0,15.8,6.5,2025-10-02 08:00:00
14,4,30.0,56.1,0.0,15.8,6.5,2025-10-02 08:00:00
15,5,30.6,57.3,0.0,15.8,6.5,2025-10-02 08:00:00
16,6,31.4,52.8,0.0,15.8,6.5,2025-10-02 08:00:00
17,7,29.9,54.0,0.0,15.8,6.5,2025-10-02 08:00:00
18,8,31.5,52.2,0.0,15.8,6.5,2025-10-02 08:00:00
19,9,30.1,56.4,0.0,15.8,6.5,2025-10-02 08:00:00
20,10,30.4,54.4,0.0,15.8,6.5,2025-10-02 08:00:00
21,1,24.2,59.7,0.0,17.9,4.6,2025-10-03 08:00:00
22,2,21.9,53.7,0.0,17.9,4.6,2025-10-03 08:00:00
23,3,23.5,56.7,0.0,17.9,4.6,2025-10-03 08:00:00
24,4,23.7,55.3,0.0,17.9,4.6,2025-10-03 08:00:00
25,5,24.8,54.7,0.0,17.9,4.6,2025-10-03 08:00:00
26,6,23.9,54.6,0.0,17.9,4.6,2025-10-03 08:00:00
27,7,23.5,59.5,0.0,17.9,4.6,2025-10-03 08:00:00
28,8,23.4,58.5,0.0,17.9,4.6,2025-10-03 08:00:00
29,9,21.6,53.5,0.0,17.9,4.6,2025-10-03 08:00:00
30,10,22.4,56.5,0.0,17.9,4.6,2025-10-03 08:00:00
31,1,30.7,54.3,0.0,18.1,6.1,2025-10-04 08:00:00
32,2,31.7,54.6,0.0,18.1,6.1,2025-10-04 08:00:00
33,3,32.0,56.6,0.0,18.1,6.1,2025-10-04 08:00:00
34,4,30.1,55.8,0.0,18.1,6.1,2025-10-04 08:00:00
35,5,30.2,49.6,0.0,18.1,6.1,2025-10-04 08:00:00
36,6,30.3,57.5,0.0,18.1,6.1,2025-10-04 08:00:00
37,7,31.1,53.8,0.0,18.1,6.1,2025-10-04 08:00:00
38,8,30.5,55.1,0.0,18.1,6.1,2025-10-04 08:00:00
39,9,30.9,55.7,0.0,18.1,6.1,2025-10-04 08:00:00
40,10,31.1,57.3,0.0,18.1,6.1,2025-10-04 08:00:00
41,1,33.6,55.7,0.0,24.1,4.6,2025-10-05 08:00:00
42,2,34.0,53.3,0.0,24.1,4.6,2025-10-05 08:00:00
43,3,33.0,58.2,0.0,24.1,4.6,2025-10-05 08:00:00
44,4,35.2,51.7,0.0,24.1,4.6,2025-10-05 08:00:00
45,5,33.0,56.5,0.0,24.1,4.6,2025-10-05 08:00:00
46,6,33.3,55.8,0.0,24.1,4.6,2025-10-05 08:00:00
47,7,31.4,49.7,0.0,24.1,4.6,2025-10-05 08:00:00
48,8,34.7,57.2,0.0,24.1,4.6,2025-10-05 08:00:00
49,9,33.6,50.4,0.0,24.1,4.6,2025-10-05 08:00:00
50,10,31.7,58.0,0.0,24.1,4.6,2025-10-05 08:00:00
51,1,25.4,56.8,0.0,20.9,1.2,2025-10-06 08:00:00
52,2,25.6,55.1,0.0,20.9,1.2,2025-10-06 08:00:00
53,3,26.3,55.6,0.0,20.9,1.2,2025-10-06 08:00:00
54,4,24.7,53.7,0.0,20.9,1.2,2025-10-06 08:00:00
55,5,24.2,56.1,0.0,20.9,1.2,2025-10-06 08:00:00
56,6,25.5,53.3,0.0,20.9,1.2,2025-10-06 08:00:00
57,7,24.0,52.8,0.0,20.9,1.2,2025-10-06 08:00:00
58,8,24.8,56.8,0.0,20.9,1.2,2025-10-06 08:00:00
59,9,25.1,58.8,0.0,20.9,1.2,2025-10-06 08:00:00
60,10,24.7,55.6,0.0,20.9,1.2,2025-10-06 08:00:00
61,1,24.9,58.9,0.0,12.5,5.8,2025-10-07 08:00:00
62,2,23.7,56.5,0.0,12.5,5.8,2025-10-07 08:00:00
63,3,24.3,52.7,0.0,12.5,5.8,2025-10-07 08:00:00
